corfo,setentayseis,dosmilsiete
Norte Grande,Tarapacá y Antofagasta,"Arica y Parinacota, Tarapacá y Antofagasta"
Norte Chico,Atacama y Coquimbo,Atacama y Coquimbo
Núcleo Central,"Aconcagua, Valparaíso, Santiago, O'Higgins, Colchagua, Curicó, Talca, Maule, 
Linares, y Ñuble","Valparaíso, Metropolitana de Santiago, O'Higgins, Maule y Biobío (norte)"
Concepción y La Frontera,"Concepción, Arauco, Biobío, Malleco y Cautín",Biobío (sur) y Araucanía
Región de los Lagos,"Valdivia, Osorno y Llanquihue",Los Ríos y Los Lagos (continental)
Región de los Canales,"Chiloé, Aysén y Magallanes","Los Lagos (Isla Grande de Chiloé), Aysén y Magallanes"
